x = |10040622,10040636>
x = |10156660,10156674>
x = |10204260,10204274>
x = |10220700,10220717>
x = |10307350,10307368>
x = |10312464,10312475>
x = |10385320,10385332>
x = |10390279,10390292>
x = |10390642,10390654>
x = |10391735,10391747>
x = |10391921,10391933>
x = |10392066,10392078>
x = |10416636,10416654>
x = |10447526,10447540>
x = |10454135,10454149>
x = |1050531,1050541>
x = |10555568,10555583>
x = |10573842,10573859>
x = |10576969,10576982>
x = |10579073,10579092>
x = |10642811,10642829>
x = |10689989,10690000>
x = |106959,106976>
x = |10708172,10708187>
x = |10736698,10736723>
x = |10764911,10764928>
x = |10786537,10786553>
x = |10809309,10809329>
x = |10819001,10819016>
x = |10829928,10829943>
x = |10915070,10915083>
x = |11000894,11000910>
x = |11004636,11004649>
x = |11014637,11014659>
x = |11014874,11014896>
x = |11027234,11027247>
x = |111072,111082>
x = |1115222,1115237>
x = |11153422,11153434>
x = |11224478,11224490>
x = |11288375,11288388>
x = |11305182,11305201>
x = |11317405,11317419>
x = |11322922,11322936>
x = |11333962,11333979>
x = |11352870,11352884>
x = |11370351,11370372>
x = |11451884,11451895>
x = |11516824,11516836>
x = |11543543,11543561>
x = |11562215,11562232>
x = |11575102,11575119>
x = |11602973,11602988>
x = |11630145,11630160>
x = |11630231,11630246>
x = |11686670,11686689>
x = |11808710,11808725>
x = |11860977,11860989>
x = |11876698,11876715>
x = |1188406,1188422>
x = |11932256,11932269>
x = |12027376,12027391>
x = |12028242,12028255>
x = |12062712,12062723>
x = |12076760,12076776>
x = |12099915,12099929>
x = |12103512,12103529>
x = |12148061,12148082>
x = |12156197,12156208>
x = |12169555,12169577>
x = |1223338,1223353>
x = |12248051,12248067>
x = |1236379,1236396>
x = |12404928,12404947>
x = |12440132,12440154>
x = |12440681,12440703>
x = |12446478,12446500>
x = |12448895,12448905>
x = |12449275,12449288>
x = |12472280,12472293>
x = |12472656,12472669>
x = |12473453,12473466>
x = |12478918,12478931>
x = |12480701,12480723>
x = |12495674,12495696>
x = |12504477,12504496>
x = |12613756,12613774>
x = |12614350,12614365>
x = |12616205,12616223>
x = |12616784,12616802>
x = |12695913,12695927>
x = |12715650,12715671>
x = |12724055,12724074>
x = |12757584,12757602>
x = |12762023,12762042>
