x = |10032741,10032759>
x = |10039473,10039492>
x = |10044587,10044604>
x = |10053222,10053241>
x = |10061603,10061619>
x = |10064491,10064511>
x = |10067490,10067505>
x = |10096021,10096036>
x = |10097652,10097667>
x = |10102756,10102776>
x = |10127211,10127229>
x = |10142325,10142345>
x = |10165549,10165569>
x = |10172410,10172429>
x = |10178936,10178956>
x = |10179174,10179190>
x = |10188427,10188441>
x = |10190757,10190776>
x = |10199415,10199433>
x = |10231397,10231419>
x = |10238,10252>
x = |10264104,10264126>
x = |10268985,10269004>
x = |10272708,10272730>
x = |10290769,10290790>
x = |10290836,10290857>
x = |10294719,10294732>
x = |10321441,10321460>
x = |10321872,10321894>
x = |1033227,1033245>
x = |10336406,10336419>
x = |10376296,10376315>
x = |10412142,10412159>
x = |10426814,10426833>
x = |10439323,10439343>
x = |10446242,10446254>
x = |10464871,10464887>
x = |10478525,10478540>
x = |10489036,10489059>
x = |10500016,10500037>
x = |10502840,10502853>
x = |1051034,1051051>
x = |10532145,10532164>
x = |10544825,10544846>
x = |10548934,10548950>
x = |10550158,10550171>
x = |10550173,10550190>
x = |1060515,1060532>
x = |10609047,10609062>
x = |10612524,10612544>
x = |10615601,10615620>
x = |10623623,10623638>
x = |10626266,10626277>
x = |10650104,10650122>
x = |10683952,10683972>
x = |10712338,10712359>
x = |10755834,10755857>
x = |10787242,10787261>
x = |10788852,10788869>
x = |10796724,10796739>
x = |10800810,10800838>
x = |10800974,10801001>
x = |10831580,10831598>
x = |10838245,10838267>
x = |10903205,10903224>
x = |1091510,1091529>
x = |10926319,10926337>
x = |10970501,10970520>
x = |10994777,10994793>
x = |10997080,10997097>
x = |11026797,11026815>
x = |110576,110585>
x = |11094019,11094044>
x = |11096316,11096328>
x = |11101811,11101829>
x = |11157108,11157125>
x = |11207507,11207527>
x = |11258770,11258788>
x = |11267107,11267125>
x = |11334668,11334678>
x = |11351424,11351450>
x = |11372117,11372135>
x = |11500047,11500066>
x = |11531909,11531919>
x = |11542974,11542988>
x = |11551929,11551941>
x = |11568299,11568317>
x = |11658591,11658607>
x = |11680570,11680592>
x = |11681057,11681075>
x = |11690536,11690547>
x = |11714133,11714148>
x = |11783050,11783072>
x = |1178315,1178331>
x = |11825663,11825677>
x = |11832026,11832038>
x = |1183914,1183927>
x = |11866169,11866188>
x = |11886612,11886640>
x = |11905226,11905240>
x = |12058531,12058550>
x = |12065625,12065638>
x = |12071579,12071593>
x = |12075457,12075477>
x = |12078255,12078271>
x = |12083737,12083759>
x = |12102062,12102083>
x = |12111976,12111989>
x = |12148573,12148590>
x = |12175691,12175715>
x = |12204892,12204908>
x = |12244076,12244090>
x = |12280379,12280398>
x = |12323080,12323098>
x = |12331346,12331363>
x = |12371394,12371415>
x = |12384717,12384736>
x = |12384773,12384789>
x = |12422336,12422357>
x = |12425169,12425182>
x = |12444853,12444869>
x = |12464888,12464900>
x = |12470852,12470868>
x = |12500382,12500406>
x = |12506021,12506042>
x = |12509962,12509983>
x = |1251769,1251786>
x = |1255866,1255883>
x = |12568397,12568417>
x = |12569632,12569653>
x = |12606901,12606919>
x = |12610442,12610455>
x = |12613232,12613247>
x = |12628489,12628507>
x = |12642509,12642530>
x = |12657548,12657563>
x = |12660598,12660613>
x = |12675730,12675740>
x = |12677350,12677365>
x = |1268730,1268743>
x = |12699874,12699888>
x = |12710764,12710781>
x = |12719941,12719958>
x = |12732191,12732213>
x = |12743312,12743327>
x = |12745726,12745742>
x = |12750536,12750548>
x = |12819959,12819978>
x = |1285631,1285648>
x = |12858272,12858292>
x = |1285871,1285884>
x = |12889965,12889980>
x = |12895857,12895867>
x = |12899540,12899555>
x = |1291040,1291057>
x = |12911570,12911590>
x = |1292268,1292289>
x = |12933347,12933367>
x = |12952320,12952334>
x = |12969270,12969285>
x = |13022566,13022580>
x = |13022635,13022649>
x = |13044746,13044764>
x = |13056691,13056707>
x = |13067527,13067544>
x = |13073711,13073725>
x = |13081723,13081741>
x = |13099800,13099813>
x = |13123732,13123753>
x = |13146725,13146745>
x = |13147135,13147147>
x = |13157934,13157953>
x = |13159436,13159453>
x = |1316810,1316830>
x = |13192219,13192237>
x = |13200756,13200774>
x = |13202098,13202115>
x = |13218435,13218453>
x = |13236906,13236921>
x = |13249710,13249727>
x = |13249760,13249777>
x = |13261422,13261441>
x = |13272457,13272477>
x = |13276921,13276942>
x = |132905,132924>
x = |13312295,13312317>
x = |13318564,13318585>
x = |13349710,13349731>
x = |13359963,13359974>
x = |13371479,13371493>
x = |13371535,13371558>
x = |13381595,13381615>
x = |13383221,13383241>
x = |13397804,13397814>
x = |13409439,13409460>
x = |13428912,13428932>
x = |13433453,13433470>
x = |13454236,13454259>
x = |13454984,13455003>
x = |13467643,13467658>
x = |13472179,13472188>
x = |1348097,1348117>
x = |13550437,13550451>
