x = |10084395,10084411>
x = |10123159,10123174>
x = |10124341,10124353>
x = |10136784,10136800>
x = |10187275,10187298>
x = |10210318,10210331>
x = |10249495,10249505>
x = |10255177,10255191>
x = |10270270,10270285>
x = |10306977,10306992>
x = |10309317,10309327>
x = |10374064,10374083>
x = |10377574,10377595>
x = |10404475,10404489>
x = |10407049,10407059>
x = |10441852,10441867>
x = |10443685,10443698>
x = |10443964,10443977>
x = |10450895,10450908>
x = |10452290,10452303>
x = |10462012,10462022>
x = |10473582,10473596>
x = |1050634,1050650>
x = |10542404,10542415>
x = |10556677,10556694>
x = |10565650,10565662>
x = |10599117,10599133>
x = |10684222,10684232>
x = |1075049,1075063>
x = |1087485,1087497>
x = |10890402,10890414>
x = |10966831,10966840>
x = |10968758,10968780>
x = |11036073,11036085>
x = |11048297,11048308>
x = |11058768,11058779>
x = |11131289,11131302>
x = |11390350,11390361>
x = |11436527,11436538>
x = |11538760,11538770>
x = |11550432,11550447>
x = |1156835,1156850>
x = |11570287,11570299>
x = |11588012,11588024>
x = |11738773,11738785>
x = |11767695,11767708>
x = |11800593,11800606>
x = |11870919,11870931>
x = |12030650,12030663>
x = |12115073,12115092>
x = |12122677,12122691>
x = |12129284,12129302>
x = |12207097,12207108>
x = |12207481,12207495>
x = |12240759,12240775>
x = |12317838,12317852>
x = |12508499,12508514>
x = |12515378,12515391>
x = |1253860,1253877>
x = |12568496,12568508>
x = |12592411,12592423>
x = |12720591,12720609>
x = |12772872,12772886>
x = |12824593,12824610>
x = |12920893,12920909>
x = |12933026,12933040>
x = |12990520,12990530>
x = |13005238,13005253>
x = |13006159,13006180>
x = |13022113,13022133>
x = |13176495,13176505>
x = |13185312,13185325>
x = |13190919,13190932>
x = |13200045,13200059>
x = |13222962,13222980>
x = |132298,132321>
x = |13235764,13235783>
x = |13278715,13278728>
x = |13307836,13307845>
x = |13328827,13328838>
x = |13402485,13402494>
x = |13487158,13487173>
x = |13523445,13523462>
x = |13538381,13538393>
x = |13588367,13588381>
x = |13600295,13600308>
x = |13622559,13622570>
x = |13664931,13664940>
x = |13766143,13766159>
x = |13903581,13903590>
x = |13913180,13913195>
x = |14002851,14002870>
x = |14009725,14009738>
x = |14097577,14097587>
x = |14160421,14160434>
x = |14174040,14174057>
x = |14188760,14188773>
x = |14210387,14210402>
x = |14227379,14227396>
x = |14233176,14233190>
x = |14235012,14235028>
x = |14347110,14347125>
x = |14403219,14403234>
x = |1445356,1445365>
x = |14463897,14463912>
x = |14469809,14469825>
x = |14480923,14480939>
x = |14546836,14546850>
x = |14603373,14603384>
x = |1462213,1462228>
x = |14629887,14629906>
x = |1464106,1464119>
x = |14670101,14670110>
x = |14701965,14701981>
x = |14817931,14817944>
x = |14840137,14840149>
x = |14869358,14869367>
x = |1487722,1487735>
x = |14883648,14883657>
x = |14945916,14945928>
x = |14968380,14968397>
x = |14975937,14975951>
x = |15041099,15041115>
x = |1508490,1508505>
x = |15110590,15110606>
x = |15110628,15110644>
x = |15165583,15165595>
x = |15192635,15192649>
x = |15205555,15205569>
x = |15332137,15332154>
x = |15398910,15398922>
x = |1539983,1539996>
x = |15417952,15417968>
x = |15468517,15468534>
x = |15478562,15478574>
x = |15483934,15483951>
x = |1564569,1564583>
x = |1567095,1567105>
x = |1567602,1567615>
x = |15680722,15680733>
x = |15694944,15694960>
x = |15718305,15718314>
x = |15760206,15760227>
x = |15799398,15799413>
x = |15810072,15810084>
x = |15846342,15846356>
x = |15847483,15847499>
x = |15924820,15924829>
x = |16095577,16095591>
x = |16160174,16160190>
x = |16212027,16212042>
x = |16260644,16260661>
x = |16290352,16290361>
x = |16312692,16312709>
x = |16324888,16324902>
x = |16328040,16328053>
x = |16347181,16347193>
x = |16416789,16416803>
x = |16499701,16499710>
x = |16527854,16527872>
x = |16574795,16574808>
x = |16698235,16698250>
x = |16710892,16710902>
x = |1671376,1671392>
x = |1675602,1675617>
x = |16814700,16814713>
x = |16842159,16842173>
x = |16852090,16852103>
x = |16856882,16856902>
x = |16887396,16887408>
x = |16890364,16890379>
x = |1691092,1691103>
x = |16913258,16913272>
x = |16932701,16932714>
x = |1693700,1693715>
x = |17108814,17108824>
x = |17139293,17139305>
x = |17172424,17172434>
x = |1721402,1721416>
x = |17241978,17241991>
x = |17255343,17255357>
x = |17272918,17272934>
x = |17353991,17354003>
x = |17463793,17463806>
x = |17499142,17499153>
x = |17562870,17562885>
x = |17580052,17580065>
x = |17614993,17615008>
x = |17625537,17625547>
x = |17634635,17634651>
x = |17638965,17638980>
