x = |10009842,10009860>
x = |10187421,10187431>
x = |10488996,10489015>
x = |1227958,1227971>
x = |12281671,12281681>
x = |12339634,12339645>
x = |13257844,13257854>
x = |13582604,13582615>
x = |13750460,13750476>
x = |14020064,14020083>
x = |14190825,14190839>
x = |1426085,1426095>
x = |14281776,14281786>
x = |14875647,14875657>
x = |1493402,1493412>
x = |15719471,15719482>
x = |1634018,1634028>
x = |16510587,16510597>
x = |16927388,16927400>
x = |17084384,17084397>
x = |17086013,17086025>
x = |17090176,17090189>
x = |17095338,17095350>
x = |17096817,17096829>
x = |17106186,17106198>
x = |17106648,17106660>
x = |17108484,17108496>
x = |17110639,17110651>
x = |17122250,17122262>
x = |17142412,17142422>
x = |17290747,17290759>
x = |17297367,17297381>
x = |17302995,17303007>
x = |17303293,17303305>
x = |17304586,17304598>
x = |17317804,17317816>
x = |17318988,17319000>
x = |17330678,17330691>
x = |17344208,17344220>
x = |17346504,17346516>
x = |17348021,17348033>
x = |17371558,17371570>
x = |17373055,17373067>
x = |17379085,17379097>
x = |17408265,17408278>
x = |17408849,17408862>
x = |17410141,17410153>
x = |17414141,17414154>
x = |17415512,17415524>
x = |17432398,17432411>
x = |17625668,17625680>
x = |17632641,17632654>
x = |17637240,17637258>
x = |17644341,17644353>
x = |17645477,17645490>
x = |17646823,17646835>
x = |17660741,17660753>
x = |17668200,17668213>
x = |17669112,17669124>
x = |17669511,17669523>
x = |17671222,17671235>
x = |17785311,17785324>
x = |18038648,18038661>
x = |18039849,18039862>
x = |18042321,18042334>
x = |18049810,18049823>
x = |18210700,18210710>
x = |18295791,18295804>
x = |18296316,18296329>
x = |18296795,18296808>
x = |18297764,18297777>
x = |18389316,18389334>
x = |18652895,18652907>
x = |18691830,18691842>
x = |18691954,18691967>
x = |18709987,18710000>
x = |18830855,18830865>
x = |1912995,1913013>
x = |19157936,19157949>
x = |20399308,20399320>
x = |20444142,20444152>
x = |20637162,20637179>
x = |23465416,23465427>
x = |2409399,2409409>
x = |2428035,2428047>
x = |24329208,24329223>
x = |25239917,25239929>
x = |26125813,26125825>
x = |2636045,2636055>
x = |2760241,2760256>
x = |2774403,2774418>
x = |29454112,29454120>
x = |29962273,29962288>
x = |30203432,30203443>
x = |31951374,31951385>
x = |32988045,32988056>
x = |32988453,32988464>
x = |32993043,32993054>
x = |33017601,33017612>
x = |33133365,33133383>
x = |33162932,33162947>
x = |33181862,33181873>
x = |33345608,33345619>
x = |33578408,33578419>
x = |33663588,33663603>
x = |34095794,34095805>
x = |34096341,34096352>
x = |34140189,34140200>
x = |34188446,34188462>
x = |34221360,34221381>
x = |34356354,34356365>
x = |35095035,35095046>
x = |35785438,35785449>
x = |3604718,3604730>
x = |36906030,36906041>
x = |37314389,37314400>
x = |38338967,38338981>
x = |38363104,38363115>
x = |38431690,38431701>
x = |38898679,38898693>
x = |4029204,4029221>
x = |40682123,40682141>
x = |4079516,4079534>
x = |41005312,41005323>
x = |41163910,41163927>
x = |4118895,4118905>
x = |41791726,41791738>
x = |42706662,42706673>
x = |43273447,43273458>
x = |44514505,44514516>
x = |44531943,44531954>
x = |4482775,4482792>
x = |44859219,44859230>
x = |45338704,45338715>
x = |45339480,45339491>
x = |45406769,45406780>
x = |46436615,46436626>
x = |47682215,47682228>
x = |47698584,47698601>
x = |47722784,47722795>
x = |47860738,47860749>
x = |48508730,48508748>
x = |48863492,48863503>
x = |49667770,49667781>
x = |49681008,49681019>
x = |49813159,49813170>
x = |50331056,50331067>
x = |50679204,50679223>
x = |50727634,50727646>
x = |7313587,7313603>
x = |7334032,7334048>
x = |7652184,7652198>
x = |8480333,8480356>
x = |9088838,9088848>
x = |9259438,9259448>
x = |9312539,9312550>
x = |9661866,9661884>
x = |9839925,9839935>
x = |9932185,9932205>
x = |9982929,9982947>
