x = |10143512,10143531>
x = |10147811,10147826>
x = |10375011,10375026>
x = |10375382,10375400>
x = |10381535,10381558>
x = |10412142,10412159>
x = |1047112,1047129>
x = |10478525,10478540>
x = |10621696,10621714>
x = |10762785,10762796>
x = |10800810,10800838>
x = |10815561,10815585>
x = |10816065,10816084>
x = |10908040,10908057>
x = |11150348,11150364>
x = |11150559,11150575>
x = |11179802,11179815>
x = |1127524,1127545>
x = |11304173,11304194>
x = |11475606,11475626>
x = |1166880,1166897>
x = |1171345,1171367>
x = |11803521,11803540>
x = |11949819,11949839>
x = |12030362,12030379>
x = |12113051,12113070>
x = |12233558,12233567>
x = |12275508,12275527>
x = |12420209,12420229>
x = |12488784,12488803>
x = |12508164,12508175>
x = |12513963,12513980>
x = |12642661,12642681>
x = |1270087,1270106>
x = |12722254,12722277>
x = |12797236,12797253>
x = |128937,128958>
x = |12904030,12904051>
x = |12957796,12957820>
x = |13025192,13025207>
x = |13056691,13056707>
x = |13172914,13172937>
x = |13202098,13202115>
x = |13703253,13703265>
x = |13750453,13750470>
x = |13750564,13750583>
x = |138083,138094>
x = |13828124,13828144>
x = |13987086,13987106>
x = |1400419,1400440>
x = |1401648,1401668>
x = |14110292,14110303>
x = |14144582,14144602>
x = |14311464,14311487>
x = |14542627,14542648>
x = |14662,14680>
x = |1474294,1474309>
x = |15246888,15246897>
x = |15299652,15299661>
x = |15457878,15457900>
x = |15683475,15683493>
x = |15705401,15705416>
x = |15946838,15946858>
x = |15962684,15962701>
x = |15993863,15993888>
x = |16205959,16205975>
x = |16227257,16227278>
x = |16294060,16294069>
x = |16360273,16360293>
x = |16388524,16388547>
x = |16456460,16456477>
x = |16505432,16505449>
x = |16583344,16583365>
x = |16657087,16657104>
x = |16701549,16701562>
x = |16827707,16827727>
x = |1707421,1707440>
x = |17077699,17077720>
x = |17094753,17094776>
x = |17766468,17766480>
x = |17838356,17838377>
x = |17876295,17876315>
x = |17957967,17957990>
x = |18096598,18096617>
x = |18240844,18240867>
x = |18335242,18335259>
x = |18426378,18426393>
x = |18469664,18469675>
x = |18509989,18510002>
x = |18774821,18774842>
x = |18828086,18828112>
x = |18945439,18945448>
x = |18956495,18956516>
x = |19371142,19371161>
x = |19534490,19534511>
x = |19772647,19772668>
x = |19840085,19840102>
x = |19890347,19890362>
x = |20290478,20290498>
x = |20405124,20405142>
x = |20405231,20405249>
x = |20406397,20406406>
x = |20478413,20478424>
x = |20724859,20724868>
x = |208084,208099>
x = |20927465,20927474>
x = |2108594,2108620>
x = |21788935,21788952>
x = |21843507,21843516>
x = |21902296,21902313>
x = |22038947,22038956>
x = |22088106,22088122>
x = |22123942,22123960>
x = |22266219,22266238>
x = |22529720,22529729>
x = |22643371,22643380>
x = |22698648,22698669>
x = |22840339,22840355>
x = |22899254,22899277>
x = |22924622,22924643>
