x = |10057465,10057487>
x = |10200620,10200634>
x = |10341423,10341442>
x = |10821911,10821922>
x = |11203304,11203317>
x = |1148765,1148779>
x = |1217993,1218009>
x = |12520609,12520626>
x = |12667334,12667345>
x = |12810724,12810741>
x = |13326919,13326933>
x = |13647306,13647329>
x = |14317397,14317413>
x = |14976479,14976493>
x = |15796497,15796510>
x = |16355128,16355139>
x = |17348486,17348498>
x = |17625259,17625271>
x = |17976980,17976996>
x = |18426967,18426983>
x = |19067601,19067614>
x = |20541388,20541404>
x = |20954583,20954597>
x = |21315030,21315044>
x = |21315366,21315380>
x = |2145113,2145125>
x = |22261013,22261029>
x = |22283427,22283448>
x = |2247488,2247500>
x = |22685119,22685133>
x = |2352558,2352578>
x = |2409688,2409705>
x = |2468798,2468815>
x = |2553559,2553576>
x = |2579213,2579224>
x = |25824995,25825009>
x = |2773429,2773441>
x = |28951593,28951606>
x = |2941299,2941314>
x = |2942511,2942533>
x = |31034784,31034798>
x = |3121542,3121559>
x = |31292819,31292833>
x = |33552995,33553011>
x = |33858652,33858666>
x = |34619084,34619101>
x = |34968149,34968164>
x = |35026449,35026464>
x = |35217542,35217555>
x = |35903288,35903310>
x = |36682418,36682430>
x = |38156068,38156083>
x = |38363161,38363175>
x = |3843459,3843470>
x = |39593937,39593952>
x = |39611221,39611236>
x = |39772964,39772979>
x = |39951627,39951642>
x = |40455836,40455851>
x = |40547957,40547972>
x = |41290016,41290031>
x = |41628200,41628214>
x = |42007771,42007787>
x = |42059104,42059119>
x = |4233488,4233502>
x = |43952295,43952311>
x = |43965023,43965038>
x = |44869639,44869654>
x = |44964409,44964423>
x = |45860780,45860796>
x = |47280830,47280842>
x = |4764339,4764356>
x = |48088284,48088301>
x = |49693481,49693499>
x = |50346032,50346044>
x = |50648137,50648151>
x = |5519514,5519530>
x = |5643901,5643918>
x = |6146637,6146653>
x = |7475791,7475805>
x = |7476274,7476289>
x = |7758118,7758133>
x = |9682927,9682944>
