x = |11305202,11305210>
x = |13274890,13274901>
x = |17276179,17276189>
x = |21200431,21200439>
x = |21229729,21229737>
x = |21260548,21260556>
x = |216232,216245>
x = |23749313,23749326>
x = |25881977,25881990>
x = |25940698,25940711>
x = |26187330,26187344>
x = |26272257,26272270>
x = |27211175,27211186>
x = |29075339,29075351>
x = |29601463,29601477>
x = |31228092,31228100>
x = |31738220,31738233>
x = |32662120,32662133>
x = |33029219,33029232>
x = |33036913,33036926>
x = |33161370,33161383>
x = |34123627,34123642>
x = |34472373,34472385>
x = |35621786,35621795>
x = |37242483,37242495>
x = |38388308,38388321>
x = |38402066,38402078>
x = |39187324,39187332>
x = |40947942,40947950>
x = |41645141,41645154>
x = |41675405,41675417>
x = |41712449,41712458>
x = |4411629,4411639>
x = |45022929,45022940>
x = |45509398,45509410>
x = |45534782,45534794>
x = |45795629,45795642>
x = |47100030,47100043>
x = |47323402,47323412>
x = |47966622,47966632>
x = |48176885,48176900>
x = |48270289,48270301>
x = |48380406,48380418>
x = |48562713,48562725>
x = |49613627,49613638>
x = |49713288,49713300>
x = |49725770,49725781>
x = |50340188,50340199>
x = |50644353,50644364>
x = |6133940,6133953>
x = |7793561,7793574>
x = |9420207,9420219>
