x = |11693562,11693583>
x = |20180150,20180168>
x = |32654545,32654564>
x = |33384249,33384261>
x = |34270913,34270932>
x = |34442244,34442264>
x = |36129968,36129987>
x = |41037931,41037952>
x = |41192779,41192799>
x = |41211092,41211112>
x = |41504216,41504233>
x = |41746781,41746798>
x = |4229550,4229573>
x = |42356439,42356458>
x = |43225745,43225766>
x = |44206440,44206457>
x = |44584454,44584475>
x = |44603123,44603142>
x = |44811642,44811663>
x = |45718253,45718272>
x = |49097362,49097379>
x = |590803,590817>
