x = |11891083,11891092>
x = |1312064,1312072>
x = |143621,143629>
x = |2101791,2101799>
x = |21685434,21685442>
x = |22392462,22392470>
x = |22796605,22796614>
x = |23619945,23619958>
x = |27592742,27592755>
x = |28200782,28200791>
x = |29958910,29958918>
x = |30996809,30996818>
x = |31161028,31161036>
x = |31546490,31546502>
x = |31655195,31655204>
x = |31736354,31736363>
x = |32328839,32328848>
x = |33756787,33756800>
x = |35109901,35109909>
x = |35186516,35186524>
x = |35352849,35352858>
x = |37291840,37291851>
x = |38034256,38034268>
x = |38408251,38408266>
x = |38960986,38961001>
x = |39002984,39002997>
x = |39238936,39238950>
x = |39248936,39248952>
x = |39249071,39249087>
x = |40212474,40212485>
x = |40422087,40422098>
x = |40586973,40586986>
x = |41236674,41236682>
x = |41746671,41746685>
x = |41984483,41984492>
x = |42331462,42331471>
x = |4296809,4296817>
x = |42994937,42994945>
x = |44378141,44378154>
x = |44475576,44475590>
x = |44625527,44625536>
x = |45014355,45014368>
x = |45108783,45108794>
x = |45407711,45407722>
x = |45929891,45929902>
x = |46464744,46464757>
x = |46611559,46611570>
x = |46913580,46913595>
x = |47059500,47059511>
x = |48114449,48114457>
x = |48586912,48586925>
x = |48814030,48814048>
x = |49451733,49451741>
x = |49813883,49813894>
x = |50192419,50192432>
x = |50246482,50246495>
x = |5224502,5224511>
x = |7963591,7963600>
x = |9954065,9954074>
